Date,"CHAPS Monthly volume, '000","CHAPS Monthly value, £m"
01/01/2023,4152.546,8135064.272
01/02/2023,3937.379,7875007.895
01/03/2023,4716.761,8844142.866
01/04/2023,3938.91,7115420.261
01/05/2023,4262.49,7389325.923
01/06/2023,4403.915,7949490.326
01/07/2023,4315.043,7371960.614
01/08/2023,4343.778,7387897.153
01/09/2023,4243.835,7437689.193
01/10/2023,4408.063,7514070.147
01/11/2023,4319.246,7433990.594
01/12/2023,4101.624,7021488.277
01/01/2024,4338.776,7643748.958
01/02/2024,4097.222,6640621.437
01/03/2024,4233.772,6776136.426
01/04/2024,4593.744,7348136.634
01/05/2024,4486.109,7251689.655
01/06/2024,4090.054,7261198.214
